year,fips,state_name,race,num_students,num_students_pub,num_exams,num_exams_pub,num_pass_exams,num_fail_exams,num_pass_exams_pub,num_fail_exams_pub,pct_pass_exams,pct_pass_exams_pub,num_grad_ap,num_grad_pass_ap,ap_mandate,ap_funding
2001,1,Alabama,Asian,266,216,500,404,365,135,292,112,.73000002,.7227723,,,0,0
2001,1,Alabama,Black,675,644,854,811,214,640,191,620,.25058547,.23551172,,,0,0
2001,1,Alabama,Hispanic,26,21,44,34,25,19,20,14,.56818181,.58823532,,,0,0
2001,1,Alabama,Total,5728,4345,8779,6465,5141,3638,3634,2831,.58560199,.56210363,2897,1552,0,0
2001,1,Alabama,White,4531,3292,6988,4931,4290,2698,2961,1970,.61390954,.6004867,,,0,0
2001,2,Alaska,Asian,123,121,235,233,110,125,110,123,.46808511,.472103,,,0,0
2001,2,Alaska,Black,34,32,45,42,20,25,19,23,.44444445,.45238096,,,0,0
2001,2,Alaska,Hispanic,25,19,51,43,32,19,27,16,.627451,.62790698,,,0,0
2001,2,Alaska,Total,1665,1572,2783,2674,1775,1008,1717,957,.63780093,.64210922,1042,664,0,0
2001,2,Alaska,White,1299,1232,2145,2068,1426,719,1382,686,.66480184,.66827852,,,0,0
2001,4,Arizona,Asian,609,510,1184,983,731,453,609,374,.61739862,.61953205,,,0,0
2001,4,Arizona,Black,129,110,194,169,83,111,73,96,.42783505,.43195266,,,0,0
2001,4,Arizona,Hispanic,773,656,1108,934,612,496,511,423,.55234659,.54710919,,,0,0
2001,4,Arizona,Total,8480,6932,14049,11399,8603,5446,7016,4383,.61235672,.61549258,4717,3102,0,0
2001,4,Arizona,White,6137,4969,10233,8232,6441,3792,5235,2997,.62943417,.63593292,,,0,0
2001,5,Arkansas,Asian,163,152,307,289,157,150,154,135,.51140064,.53287196,,,0,0
2001,5,Arkansas,Black,246,242,356,350,87,269,85,265,.24438202,.24285714,,,0,0
2001,5,Arkansas,Hispanic,43,37,74,60,35,39,26,34,.47297296,.43333334,,,0,0
2001,5,Arkansas,Total,4142,3663,6648,5897,3323,3325,2936,2961,.49984959,.49788028,2336,1187,0,0
2001,5,Arkansas,White,3482,3048,5576,4905,2853,2723,2505,2400,.51165712,.51070338,,,0,0
2001,6,California,Asian,36456,32383,72971,64868,43079,29892,37884,26984,.59035784,.5840168,,,0,0
2001,6,California,Black,4225,3608,6936,5865,2282,4654,1720,4145,.32900807,.29326513,,,0,0
2001,6,California,Hispanic,24851,22674,37435,34144,19941,17494,17846,16298,.53268331,.52266872,,,0,0
2001,6,California,Total,146922,125337,259901,220321,156685,103216,129101,91220,.60286415,.58596772,71898,50018,0,0
2001,6,California,White,58263,47369,103664,83392,68151,35513,53266,30126,.65742207,.63874233,,,0,0
2001,8,Colorado,Asian,749,678,1296,1186,793,503,724,462,.61188269,.61045533,,,0,0
2001,8,Colorado,Black,253,230,359,324,130,229,108,216,.36211699,.33333334,,,0,0
2001,8,Colorado,Hispanic,609,567,861,796,442,419,404,392,.51335657,.50753766,,,0,0
2001,8,Colorado,Total,12974,11391,20426,17839,12985,7441,11249,6590,.6357094,.63058466,7937,5217,0,0
2001,8,Colorado,White,10323,9031,16359,14245,10711,5648,9287,4958,.65474665,.65194803,,,0,0
2001,9,Connecticut,Asian,938,616,1852,1159,1374,478,831,328,.74190062,.71699739,,,0,0
2001,9,Connecticut,Black,524,394,770,556,277,493,153,403,.35974026,.27517986,,,0,0
2001,9,Connecticut,Hispanic,276,234,376,310,232,144,181,129,.61702126,.58387095,,,0,0
2001,9,Connecticut,Total,13832,9981,23356,16049,16804,6552,11279,4770,.71947253,.70278519,6252,4496,0,0
2001,9,Connecticut,White,10738,7826,18082,12587,13297,4785,9142,3445,.73537219,.72630489,,,0,0
2001,10,Delaware,Asian,221,145,481,312,359,122,214,98,.74636173,.68589741,,,0,0
2001,10,Delaware,Black,123,91,182,137,73,109,47,90,.40109891,.34306568,,,0,0
